"host_since","host_is_superhost","neighbourhood_cleansed","room_type","accommodates","price","review_scores_rating","number_of_reviews","minimum_nights","reviews_per_month","bedrooms","beds","availability_30","last_review","license","instant_bookable","prop_type_simplified","price_4_nights"
2008-09-24,TRUE,"Top 11-15","Private room",2,59,4.89,280,3,2.86,1,2,3,2019-11-21,"yes",TRUE,"Private room in rental unit",236
2009-12-02,FALSE,"Top 5","Private room",2,106,4.44,339,1,3.64,1,1,0,2020-03-27,"yes",TRUE,"Other",424
2010-03-23,TRUE,"Top 5","Private room",2,141,4.95,223,2,2.14,1,1,9,2021-08-21,"yes",TRUE,"Other",564
2010-05-13,TRUE,"Top 5","Private room",2,75,4.87,353,2,4.59,1,1,11,2021-08-27,"yes",FALSE,"Private room in rental unit",300
2010-07-23,TRUE,"Top 5","Entire home/apt",3,160,4.8,89,4,0.75,1,1,0,2020-02-10,"no",FALSE,"Entire rental unit",640
2010-08-08,FALSE,"Top 5","Entire home/apt",4,240,4.7,41,3,0.63,2,2,0,2019-09-22,"yes",FALSE,"Entire rental unit",960
2010-08-24,TRUE,"Top 6-10","Entire home/apt",3,140,4.78,182,2,1.57,2,2,5,2019-04-03,"yes",FALSE,"Entire rental unit",560
2010-09-06,TRUE,"Top 5","Entire home/apt",3,157,4.9,375,3,3.61,2,2,10,2021-08-30,"yes",FALSE,"Other",628
2010-09-07,FALSE,"Top 6-10","Entire home/apt",4,250,4.93,103,3,0.83,2,2,12,2019-05-14,"yes",FALSE,"Other",1000
2010-09-12,FALSE,"Top 11-15","Entire home/apt",6,115,4.75,17,4,0.2,3,3,0,2016-07-21,"no",FALSE,"Entire townhouse",460
2010-09-12,TRUE,"Top 5","Private room",2,118,4.86,309,2,2.53,1,1,13,2020-02-21,"yes",FALSE,"Other",472
2010-07-30,FALSE,"Top 11-15","Private room",2,75,4.62,102,2,1.21,1,1,0,2019-09-29,"no",FALSE,"Private room in rental unit",300
2010-09-28,FALSE,"Top 5","Private room",2,100,4.55,309,3,2.47,1,1,0,2019-12-10,"no",FALSE,"Other",400
2010-10-15,FALSE,"Top 5","Entire home/apt",4,222,4.77,32,3,0.49,2,2,0,2018-08-19,"yes",FALSE,"Entire rental unit",888
2010-10-17,FALSE,"Top 5","Entire home/apt",4,149,4.86,95,4,0.9,2,2,0,2020-01-03,"yes",FALSE,"Entire rental unit",596
2010-11-27,FALSE,"Top 6-10","Entire home/apt",2,120,4.91,35,2,1.07,1,1,0,2017-04-29,"yes",FALSE,"Entire rental unit",480
2010-12-01,TRUE,"Top 6-10","Entire home/apt",2,189,4.9,103,3,1.17,1,1,0,2019-08-06,"no",FALSE,"Other",756
